,Class,F1 score,Accuracy,Precision,Recall,Specificity
177,"Scottish deerhound, deerhound",0.78095245,0.82,0.74545455,0.82,0.99971974
178,Weimaraner,0.8888889,0.88,0.8979592,0.88,0.9998999
179,"Staffordshire bullterrier, Staffordshire bull terrier",0.6868687,0.68,0.6938776,0.68,0.9996997
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",0.6,0.6,0.6,0.6,0.9995996
181,Bedlington terrier,0.87234044,0.82,0.9318182,0.82,0.9999399
182,Border terrier,0.82608694,0.76,0.9047619,0.76,0.9999199
183,Kerry blue terrier,0.886598,0.86,0.9148936,0.86,0.9999199
184,Irish terrier,0.7346939,0.72,0.75,0.72,0.99975973
185,Norfolk terrier,0.72727275,0.72,0.7346939,0.72,0.99973977
186,Norwich terrier,0.6862745,0.7,0.6730769,0.7,0.99965966
187,Yorkshire terrier,0.7,0.7,0.7,0.7,0.9996997
188,wire-haired fox terrier,0.8817204,0.82,0.95348835,0.82,0.99995995
189,Lakeland terrier,0.72549015,0.74,0.71153843,0.74,0.9996997
190,"Sealyham terrier, Sealyham",0.9166666,0.88,0.95652175,0.88,0.99995995
191,"Airedale, Airedale terrier",0.85714287,0.84,0.875,0.84,0.9998799
192,"cairn, cairn terrier",0.7924529,0.84,0.75,0.84,0.99971974
193,Australian terrier,0.59090906,0.52,0.68421054,0.52,0.99975973
194,"Dandie Dinmont, Dandie Dinmont terrier",0.8514852,0.86,0.84313726,0.86,0.99983984
195,"Boston bull, Boston terrier",0.84615386,0.88,0.8148148,0.88,0.9997998
196,miniature schnauzer,0.62650603,0.52,0.7878788,0.52,0.99985987
197,giant schnauzer,0.6464646,0.64,0.6530612,0.64,0.99965966
198,standard schnauzer,0.76106197,0.86,0.6825397,0.86,0.9995996
199,"Scotch terrier, Scottish terrier, Scottie",0.7128714,0.72,0.7058824,0.72,0.9996997
200,"Tibetan terrier, chrysanthemum dog",0.68085104,0.64,0.72727275,0.64,0.99975973
